id_sensor,timestamp,temperatura,humedad,pm25
EST-001,2026-03-02 06:00,14.2,72.5,18.4
EST-001,2026-03-02 07:00,15.8,70.1,25.9
EST-001,2026-03-02 08:00,-999,68.0,31.2
EST-002,2026-03-02 06:00,13.9,75.3,12.7
EST-002,2026-03-02 07:00,16.4,71.8,20.5
EST-002,2026-03-02 08:00,18.1,66.2,ERR
EST-003,2026-03-02 06:00,12.5,150.0,9.8
EST-003,2026-03-02 07:00,-999,-999,-999
EST-003,2026-03-02 08:00,19.7,64.9,28.3
EST-004,2026-03-02 06:00,15.1,73.0
EST-004,2026-03-02 07:00,17.6,69.4,22.1
EST-004,2026-03-02 08:00,20.3,,35.6
EST-005,2026-03-02 06:00,14.8,74.2,15.3
EST-005,2026-03-02 07:00,17.0,70.9,19.8
EST-005,2026-03-02 08:00,-999,67.1,41.7
EST-006,2026-03-02 06:00,13.2,76.8,11.4
EST-006,2026-03-02 07:00,16.9,72.3,-4.2
EST-006,2026-03-02 08:00,21.5,63.7,33.9
EST-007,2026-03-02 06:00,15.5,71.2,17.6
EST-007,2026-03-02 07:00,18.8,68.5,24.4
EST-007,2026-03-02 07:00,18.8,68.5,24.4
EST-008,2026-03-02 06:00,14.0,73.9,13.8
EST-008,2026-03-02 07:00,17.3,70.0,21.0
EST-008,2026-03-02 08:00,-999,65.4,29.6
EST-009,2026-03-02 06:00,16.2,72.7,16.9
EST-009,2026-03-02 07:00,19.4,dieciocho,26.8
EST-009,2026-03-02 08:00,22.1,62.0,38.2
